TRAC Assigned Identifier for Individual,State,Detention Facility,Nationality,Gender,Book-In Date,Book-Out Date,Reason for Book-Out
95276,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,27-Nov-12,11-Dec-12,Voluntary Return
95318,Illinois ,TRI-COUNTY JAIL ,MEXICO ,Male ,30-Nov-12,7-Dec-12,Removed
95338,Illinois ,BROADVIEW SERVICE STAGING ,ROMANIA ,Male ,20-Aug-12,20-Aug-12,Transferred
95338,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",ROMANIA ,Male ,20-Aug-12,21-Aug-12,Transferred
95338,Illinois ,BROADVIEW SERVICE STAGING ,ROMANIA ,Male ,21-Aug-12,21-Aug-12,Transferred
95338,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",ROMANIA ,Male ,21-Aug-12,17-Oct-12,Transferred
95338,Illinois ,BROADVIEW SERVICE STAGING ,ROMANIA ,Male ,17-Oct-12,17-Oct-12,Transferred
95338,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",ROMANIA ,Male ,17-Oct-12,10-Dec-12,Transferred
95338,Illinois ,CHICAGO HOLD ROOM ,ROMANIA ,Male ,10-Dec-12,10-Dec-12,Transferred
95338,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",ROMANIA ,Male ,10-Dec-12,13-Dec-12,Transferred
95338,Illinois ,CHICAGO HOLD ROOM ,ROMANIA ,Male ,13-Dec-12,13-Dec-12,Transferred
95338,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",ROMANIA ,Male ,13-Dec-12,18-Dec-12,Transferred
95338,Illinois ,CHICAGO HOLD ROOM ,ROMANIA ,Male ,18-Dec-12,18-Dec-12,Order of supervision
95805,Illinois ,TRI-COUNTY JAIL ,MEXICO ,Male ,18-Oct-12,22-Oct-12,Transferred
95805,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,22-Oct-12,22-Oct-12,Transferred
95805,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,22-Oct-12,23-Oct-12,Transferred
95805,Illinois ,CHICAGO HOLD ROOM ,MEXICO ,Male ,23-Oct-12,23-Oct-12,Transferred
95805,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,23-Oct-12,24-Oct-12,Transferred
95805,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,24-Oct-12,24-Oct-12,Transferred
95805,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,24-Oct-12,14-Nov-12,Transferred
95805,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,14-Nov-12,14-Nov-12,Transferred
95805,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,14-Nov-12,15-Nov-12,Processing Disposition Changed Locally
95805,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,15-Nov-12,11-Dec-12,Removed
95955,Illinois ,ELGIN POLICE DEPT. JAIL ,EL SALVADOR ,Female ,2-Dec-12,3-Dec-12,Transferred
95955,Illinois ,MCHENRY COUNTY SHERIFF'S ,EL SALVADOR ,Female ,3-Dec-12,7-Dec-12,Transferred
95955,Illinois ,CHICAGO HOLD ROOM ,EL SALVADOR ,Female ,7-Dec-12,7-Dec-12,Order of supervision
96707,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,14-Dec-12,14-Dec-12,Transferred
96707,Illinois ,TRI-COUNTY JAIL ,MEXICO ,Male ,14-Dec-12,18-Dec-12,Transferred
96707,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,18-Dec-12,18-Dec-12,Transferred
96707,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",MEXICO ,Male ,18-Dec-12,28-Dec-12,Removed
96864,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,20-Nov-12,20-Nov-12,Transferred
96864,Illinois ,JEFFERSON COUNTY JAIL ,MEXICO ,Male ,20-Nov-12,5-Dec-12,Transferred
96864,Illinois ,TRI-COUNTY JAIL ,MEXICO ,Male ,5-Dec-12,7-Dec-12,Transferred
96864,Illinois ,CHICAGO HOLD ROOM ,MEXICO ,Male ,7-Dec-12,7-Dec-12,Transferred
96864,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,7-Dec-12,18-Dec-12,Transferred
96864,Illinois ,CHICAGO HOLD ROOM ,MEXICO ,Male ,18-Dec-12,18-Dec-12,U.S. Marshals or other agency  
97964,Illinois ,JEFFERSON COUNTY JAIL ,MEXICO ,Male ,3-Aug-12,6-Aug-12,Transferred
97964,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,6-Aug-12,6-Aug-12,Transferred
97964,Illinois ,ROCK ISLAND COUNTY JAIL ,MEXICO ,Male ,6-Aug-12,9-Aug-12,Transferred
97964,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,9-Aug-12,9-Aug-12,Transferred
97964,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,9-Aug-12,16-Aug-12,Transferred
97964,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,16-Aug-12,16-Aug-12,Transferred
97964,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,16-Aug-12,18-Dec-12,Removed
97997,Illinois ,ELGIN POLICE DEPT. JAIL ,LITHUANIA ,Male ,14-Nov-12,15-Nov-12,Transferred
97997,Illinois ,BROADVIEW SERVICE STAGING ,LITHUANIA ,Male ,15-Nov-12,15-Nov-12,Transferred
97997,Illinois ,MCHENRY COUNTY SHERIFF'S ,LITHUANIA ,Male ,15-Nov-12,19-Nov-12,Transferred
97997,Illinois ,CHICAGO HOLD ROOM ,LITHUANIA ,Male ,19-Nov-12,19-Nov-12,Transferred
97997,Illinois ,MCHENRY COUNTY SHERIFF'S ,LITHUANIA ,Male ,19-Nov-12,10-Dec-12,Transferred
97997,Illinois ,BROADVIEW SERVICE STAGING ,LITHUANIA ,Male ,10-Dec-12,10-Dec-12,Removed
98102,Illinois ,TRI-COUNTY JAIL ,MEXICO ,Male ,29-Nov-12,3-Dec-12,Transferred
98102,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,3-Dec-12,18-Dec-12,Removed
98288,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,16-Nov-12,16-Nov-12,Transferred
98288,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",MEXICO ,Male ,16-Nov-12,6-Dec-12,Transferred
98288,Illinois ,CHICAGO HOLD ROOM ,MEXICO ,Male ,6-Dec-12,6-Dec-12,Order of supervision
98486,Illinois ,ELGIN POLICE DEPT. JAIL ,MEXICO ,Male ,12-Dec-12,13-Dec-12,Transferred
98486,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,13-Dec-12,13-Dec-12,Transferred
98486,Illinois ,TRI-COUNTY JAIL ,MEXICO ,Male ,13-Dec-12,21-Dec-12,Transferred
98486,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,21-Dec-12,21-Dec-12,Removed
98490,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,30-Oct-12,11-Dec-12,Removed
98518,Illinois ,ROCK ISLAND HOLD ROOM ,MEXICO ,Male ,19-Nov-12,19-Nov-12,Transferred
98518,Illinois ,ROCK ISLAND COUNTY JAIL ,MEXICO ,Male ,19-Nov-12,20-Nov-12,Transferred
98518,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,20-Nov-12,11-Dec-12,Removed
98905,Illinois ,CHICAGO HOLD ROOM ,MEXICO ,Male ,29-Nov-12,29-Nov-12,Transferred
98905,Illinois ,JEFFERSON COUNTY JAIL ,MEXICO ,Male ,29-Nov-12,4-Dec-12,Transferred
98905,Illinois ,TRI-COUNTY JAIL ,MEXICO ,Male ,4-Dec-12,11-Dec-12,Removed
98930,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,2-Nov-12,6-Dec-12,Transferred
98930,Illinois ,CHICAGO HOLD ROOM ,MEXICO ,Male ,6-Dec-12,6-Dec-12,U.S. Marshals or other agency  
99047,Illinois ,SANGAMON COUNTY JAIL ,"CHINA, PEOPLES REPUBLIC OF ",Male ,30-Aug-12,31-Aug-12,Transferred
99047,Illinois ,JEFFERSON COUNTY JAIL ,"CHINA, PEOPLES REPUBLIC OF ",Male ,31-Aug-12,20-Sep-12,Transferred
99047,Illinois ,CHICAGO HOLD ROOM ,"CHINA, PEOPLES REPUBLIC OF ",Male ,20-Sep-12,20-Sep-12,Transferred
99047,Illinois ,MCHENRY COUNTY SHERIFF'S ,"CHINA, PEOPLES REPUBLIC OF ",Male ,20-Sep-12,26-Oct-12,Transferred
99047,Illinois ,BROADVIEW SERVICE STAGING ,"CHINA, PEOPLES REPUBLIC OF ",Male ,26-Oct-12,26-Oct-12,Transferred
99047,Illinois ,JEFFERSON COUNTY JAIL ,"CHINA, PEOPLES REPUBLIC OF ",Male ,26-Oct-12,2-Nov-12,Transferred
99047,Illinois ,BROADVIEW SERVICE STAGING ,"CHINA, PEOPLES REPUBLIC OF ",Male ,2-Nov-12,2-Nov-12,Transferred
99047,Wisconsin ,KENOSHA COUNTY JAIL ,"CHINA, PEOPLES REPUBLIC OF ",Male ,2-Nov-12,16-Nov-12,Transferred
99047,Illinois ,CHICAGO HOLD ROOM ,"CHINA, PEOPLES REPUBLIC OF ",Male ,16-Nov-12,16-Nov-12,Transferred
99047,Wisconsin ,KENOSHA COUNTY JAIL ,"CHINA, PEOPLES REPUBLIC OF ",Male ,16-Nov-12,4-Dec-12,Transferred
99047,Illinois ,BROADVIEW SERVICE STAGING ,"CHINA, PEOPLES REPUBLIC OF ",Male ,4-Dec-12,4-Dec-12,Removed
99488,Illinois ,TRI-COUNTY JAIL ,MEXICO ,Male ,20-Nov-12,21-Nov-12,Transferred
99488,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,21-Nov-12,21-Nov-12,Transferred
99488,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",MEXICO ,Male ,21-Nov-12,26-Nov-12,Transferred
99488,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,26-Nov-12,26-Nov-12,Transferred
99488,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",MEXICO ,Male ,26-Nov-12,11-Dec-12,Processing Disposition Changed Locally
99488,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",MEXICO ,Male ,11-Dec-12,18-Dec-12,Removed
99494,Illinois ,TRI-COUNTY JAIL ,MEXICO ,Male ,21-Nov-12,26-Nov-12,Transferred
99494,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,26-Nov-12,26-Nov-12,Transferred
99494,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,26-Nov-12,11-Dec-12,Removed
99496,Illinois ,CHICAGO HOLD ROOM ,MEXICO ,Male ,4-Sep-12,4-Sep-12,Transferred
99496,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,4-Sep-12,6-Sep-12,Transferred
99496,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,6-Sep-12,6-Sep-12,Transferred
99496,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,6-Sep-12,11-Sep-12,Transferred
99496,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,11-Sep-12,11-Sep-12,Transferred
99496,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,11-Sep-12,17-Oct-12,Transferred
99496,Illinois ,CHICAGO HOLD ROOM ,MEXICO ,Male ,17-Oct-12,17-Oct-12,Transferred
99496,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,17-Oct-12,5-Dec-12,Order of supervision
99501,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,25-Jul-12,25-Jul-12,Transferred
99501,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,25-Jul-12,18-Dec-12,Removed
99546,Illinois ,TRI-COUNTY JAIL ,EL SALVADOR ,Male ,18-Oct-12,13-Nov-12,Transferred
99546,Illinois ,CHICAGO HOLD ROOM ,EL SALVADOR ,Male ,13-Nov-12,13-Nov-12,Transferred
